millet gruel,Grain,Grain,,178,60,204,456,NA,NA,NA,0,NA,87,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moose,Meat,Meat,"venison, wild",15.75,NA,10.75,54.25,NA,NA,NA,1,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moose and pickeled game (probably also moose),Meat,Meat,"venison, wild",28.87,NA,1,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mustard,Seasoning,Flavoring/Other,,57,10,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mutton,Meat,Meat,Other,737.25,194.12,860.75,931.25,NA,NA,NA,16.25,19.5,"2,689.5",671.5,32,4,15.5,5,NA,NA,NA,NA,NA,NA,NA,283,NA,314,NA,NA,NA,NA,NA,NA,NA
nutmeg,Spice,Flavoring/Other,,14.828,14.5,22.03,22.9,NA,62.75,10,0.5,NA,69.375,36.125,NA,0.6,0.5,0.69,1.1,0.75,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
oat groats,Grain,Grain,,459.5,463,936,1275,NA,NA,NA,52,NA,2295,336,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,336,NA,NA,NA,NA,NA,NA,NA
olives,Olives,Flavoring/Other,,121.5,24,31,127,NA,96,4,1.5,NA,NA,34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
oxen,Meat,Meat,Beef,1,1,1,5,1,NA,NA,25,12.5,4,11,26,2,9,1,1,1,1,1,1,1,1,14,NA,NA,1,1,1,1,1,2,1
oysters,Fish,Meat,,3456,2592,192,NA,NA,480,NA,0,NA,9216,384,NA,768,1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pearl barley,Grain,Grain,,662,432,789,408.5,NA,NA,NA,0,NA,1808,48,NA,172,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA
pearl barley groats,Grain,Grain,,NA,NA,NA,NA,NA,10,NA,NA,NA,45,10,NA,0,4,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
peas,Grain,Grain,,"1,994.5",1427,2195,3390,NA,NA,NA,972,NA,6246,736,NA,"1,401.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,432,NA,NA,NA,NA,NA,NA,NA
